ref_original,abstract,cited_by_count,gs_title
"Stavrova, O., Ehlebracht, D., & Vohs, K. D. (2020). Victims, perpetrators, or both? The vicious cycle of disrespect and cynical beliefs about human nature. Journal of Experimental Psychology: General, 149(9), 1736.","We tested how cynicism emerges and what maintains it. Cynicism is the tendency to believe that people are morally bankrupt and behave treacherously to maximize self-interest. Drawing on literatures on norms of respectful treatment, we proposed that being the target of disrespect gives rise to cynical views, which predisposes people to further disrespect. The end result is a vicious cycle: cynicism and disrespect fuel one another. Study 1’s nationally representative survey showed that disrespect and cynicism are positively related to each other in 28 of 29 countries studied, and that cynicism’s associations with disrespect were independent of (and stronger than) associations with lacking social support. Study 2 used a nationally representative longitudinal dataset, spanning 4 years. In line with the vicious cycle hypothesis, feeling disrespected and holding cynical views gave rise to each other over time. Five preregistered experiments (including 2 in the online supplemental materials) provided causal evidence. Study 3 showed that bringing to mind previous experiences of being disrespected heightened cynical beliefs subsequently. Studies 4 and 5 showed that to the extent that people endorsed cynical beliefs, others were inclined to treat them disrespectfully. Study 6’s weeklong daily diary study replicated the vicious cycle pattern. Everyday experiences of disrespect elevated cynical beliefs and vice versa. Moreover, cynical individuals tended to treat others with disrespect, which in turn predicted more disrespectful treatment by others. In short, experiencing disrespect gives rise to cynicism and cynicism elicits disrespect from others, thereby reinforcing the worldview that caused these negative reactions in the first place.American Psychological Association",50,"[HTML][HTML] Victims, perpetrators, or both? The vicious cycle of disrespect and cynical beliefs about human nature."
"Schnall, S., Benton, J., & Harvey, S. (2008). With a Clean Conscience: Cleanliness Reduces the Severity of Moral Judgments. Psychological Science, 19(12), 1219-1222.  Study 2","Theories of moral judgment have long emphasized reasoning and conscious thought while downplaying the role of intuitive and contextual influences. However, recent research has demonstrated that incidental feelings of disgust can influence moral judgments and make them more severe. This study involved two experiments demonstrating that the reverse effect can occur when the notion of physical purity is made salient, thus making moral judgments less severe. After having the cognitive concept of cleanliness activated (Experiment 1) or after physically cleansing themselves after experiencing disgust (Experiment 2), participants found certain moral actions to be less wrong than did participants who had not been exposed to a cleanliness manipulation. The findings support the idea that moral judgment can be driven by intuitive processes, rather than deliberate reasoning. One of those intuitions appears to be physical purity, because it has a strong connection to moral purity.Sage Journals",767,With a clean conscience: Cleanliness reduces the severity of moral judgments
"Wu, S.-L., & Ortega, L. (2013). Measuring global oral proficiency in SLA research: A new elicited imitation test of L2 Chinese. Foreign Language Annals, 46(4), 680-704."," This article describes a new Chinese Elicited Imitation Test (EIT) and reports on a study that investigated the degree to which it functions as a tool that can be used in second language acquisition research to gauge global second language (L2) oral proficiency. Eighty L2 Chinese learners, sampled from two university curricular levels so as to represent high and low linguistic abilities and including both heritage and foreign language learners, participated in the study by completing the EIT as well as an oral narrative task and a background questionnaire. The results suggest that the new Chinese EIT can help measure overall oral linguistic proficiency in L2 Chinese for a variety of research purposes. Wiley Online Library",192,Measuring global oral proficiency in SLA research: A new elicited imitation test of L2 Chinese
"Livingston, R. W., Rosette, A. S., & Washington, E. F. (2012). Can an agentic Black woman get ahead? The impact of race and interpersonal dominance on perceptions of female leaders. Psychological science, 23(4), 354-358.","Prior research has demonstrated that the display of agentic behaviors, such as dominance, can produce backlash against female leaders because of the incongruence between these behaviors and prescribed gender roles. The current study was designed to fill a gap in existing research by investigating whether these well-established findings are moderated by race. Results revealed that dominant Black female leaders did not create the same backlash that dominant White female leaders did. Experimental evidence confirmed that White female (and Black male) leaders were conferred lower status when they expressed dominance rather than communality, whereas Black female (and White male) leaders were not. These findings highlight the importance, and complexity, of considering the intersection of gender and race when examining penalties for and proscriptions against dominant behavior of female leaders.Sage Journals",644,Can an agentic Black woman get ahead? The impact of race and interpersonal dominance on perceptions of female leaders
"Masicampo, E.J., & Baumeister, R.F. (2008). Toward a physiology of dual-process reasoning and judgment: Lemonade, willpower, and expensive rule-based analysis. Psychological Science, 19(3), 255-260.","This experiment used the attraction effect to test the hypothesis that ingestion of sugar can reduce reliance on intuitive, heuristic-based decision making. In the attraction effect, a difficult choice between two options is swayed by the presence of a seemingly irrelevant “decoy” option. We replicated this effect and the finding that the effect increases when people have depleted their mental resources performing a previous self-control task. Our hypothesis was based on the assumption that effortful processes require and consume relatively large amounts of glucose (brain fuel), and that this use of glucose is why people use heuristic strategies after exerting self-control. Before performing any tasks, some participants drank lemonade sweetened with sugar, which restores blood glucose, whereas others drank lemonade containing a sugar substitute. Only lemonade with sugar reduced the attraction effect. These results show one way in which the body (blood glucose) interacts with the mind (self-control and reliance on heuristics).Sage Journals",521,"Toward a physiology of dual-process reasoning and judgment: Lemonade, willpower, and expensive rule-based analysis"
"Nekmat, E., Gower, K. K., Zhou, S., & Metzger, M. (2019). Connective-collective action on social media: Moderated mediation of cognitive elaboration and perceived source credibility on personalness of source. Communication Research, 46(1), 62-87.","Taking the logic of online connective action from an information-processing viewpoint, an online experiment (N = 208) was done to examine whether individuals’ cognitive elaboration on messages received from different sources (personal: friends, family, vs. impersonal: organization) mediates their willingness to engage in connective-type collective activities on social media (e.g., commenting, “Liking”); and whether this indirect influence is biased by perceived source credibility. Results revealed significant influence from personal sources. Cognitive elaboration positively mediates this influence and was conditionally affected by high source credibility. Direct influence from personal issue involvement and perceived self and technological efficacy was also observed. Theoretical contributions (i.e., cognitive demands at individual level) and practical implications (i.e., enhancing organizational credibility, popularity of easy-to-do acts) are discussed.Sage Journals",91,Connective-collective action on social media: Moderated mediation of cognitive elaboration and perceived source credibility on personalness of source
"Reiter, A.M.F., Kanske, P., Eppinger, B. et al. The Aging of the Social Mind - Differential Effects on Components of Social Understanding. Sci Rep 7, 11046 (2017).","Research in younger adults dissociates cognitive from affective facets of social information processing, rather than promoting a monolithic view of social intelligence. An influential theory on adult development suggests differential effects of aging on cognitive and affective functions. However, this dissociation has not been directly tested in the social domain. Employing a newly developed naturalistic paradigm that disentangles facets of the social mind within an individual, we show multi-directionality of age-related differences. Specifically, components of the socio-cognitive route – Theory of Mind and metacognition – are impaired in older relative to younger adults. Nevertheless, these social capacities are still less affected by aging than factual reasoning and metacognition regarding non-social content. Importantly, the socio-affective route is well-functioning, with no decline in empathy and elevated compassion in the elderly. These findings contribute to an integrated theory of age-related change in social functioning and inform interventions tailored to specifically reinstate socio-cognitive skills in old age.nature.com",83,The aging of the social mind-differential effects on components of social understanding
"Etkin, J. & Memmi, S. (2021). Goal Conflict Encourages Work and Discourages Leisure. Journal of Consumer Research, 47(5), 716–736.  Study 1a"," Leisure is desirable and beneficial, yet consumers frequently forgo leisure in favor of other activities—namely, work. Why? We propose that goal conflict plays an important role. Seven experiments demonstrate that perceiving greater goal conflict shapes how consumers allocate time to work and leisure—even when those activities are unrelated to the conflicting goals. This occurs because goal conflict increases reliance on salient justifications, influencing how much time people spend on subsequent, unrelated activities. Because work tends to be easier to justify and leisure harder to justify, goal conflict increases time spent on work and decreases time spent on leisure. Thus, despite the conflicting goals being independent of the specific work and leisure activities considered (i.e., despite goal conflict being “incidental”), perceiving greater goal conflict encourages work and discourages leisure. The findings further understanding of how consumers allocate time to work and leisure, incidental effects of goal conflict on decision-making, and the role of justification in consumer choice. They also have implications for the use of “time-saving” technologies and the marketing of leisure activities.Oxford University Press",35,[PDF][PDF] Goal conflict encourages work and discourages leisure
"Bannard, C., & Matthews, D. (2008). Stored word sequences in language learning: The effect of familiarity on children's repetition of four-word combinations. Psychological science, 19(3), 241-248.","Recent accounts of the development of grammar propose that children remember utterances they hear and draw generalizations over these stored exemplars. This study tested these accounts' assumption that children store utterances as wholes by testing memory for familiar sequences of words. Using a newly available, dense corpus of child-directed speech, we identified frequently occurring chunks in the input (e.g., sit in your chair) and matched them to infrequent sequences (e.g., sit in your truck). We tested young children's ability to produce these sequences in a sentence-repetition test. Three-year-olds (n = 21) and 2-year-olds (n = 17) were significantly more likely to repeat frequent sequences correctly than to repeat infrequent sequences correctly. Moreover, the 3-year-olds were significantly faster to repeat the first three words of an item if they formed part of a chunk (e.g., they were quicker to say sit in your when the following word was chair than when it was truck). We discuss the implications of these results for theories of language development and processing.Sage Journals",624,Stored word sequences in language learning: The effect of familiarity on children's repetition of four-word combinations
"Ackerman, J. M., Nocera, C. C., & Bargh, J. A. (2010). Incidental haptic sensations influence social judgments and decisions. Science, 328(5986), 1712-1715.","Touch is both the first sense to develop and a critical means of information acquisition and environmental manipulation. Physical touch experiences may create an ontological scaffold for the development of intrapersonal and interpersonal conceptual and metaphorical knowledge, as well as a springboard for the application of this knowledge. In six experiments, holding heavy or light clipboards, solving rough or smooth puzzles, and touching hard or soft objects nonconsciously influenced impressions and decisions formed about unrelated people and situations. Among other effects, heavy objects made job candidates appear more important, rough objects made social interactions appear more difficult, and hard objects increased rigidity in negotiations. Basic tactile sensations are thus shown to influence higher social cognitive processing in dimension-specific and metaphor-specific ways.AAAS",942,Incidental haptic sensations influence social judgments and decisions
