ref_original,abstract,cited_by_count,gs_title
"Hauser, M. D., Cushman, F. A., Young, L., Jin, R., & Mikhail, J. M. (2007). A dissociation between moral judgments and justifications. Mind & Language, 22, 1–21.  j.1468-0017.2006.00297.x Scenarios 1 and 2"," To what extent do moral judgments depend on conscious reasoning from explicitly understood principles? We address this question by investigating one particular moral principle, the principle of the double effect. Using web‐based technology, we collected a large data set on individuals’ responses to a series of moral dilemmas, asking when harm to innocent others is permissible. Each moral dilemma presented a choice between action and inaction, both resulting in lives saved and lives lost. Results showed that: (1) patterns of moral judgments were consistent with the principle of double effect and showed little variation across differences in gender, age, educational level, ethnicity, religion or national affiliation (within the limited range of our sample population) and (2) a majority of subjects failed to provide justifications that could account for their judgments. These results indicate that the principle of the double effect may be operative in our moral judgments but not open to conscious introspection. We discuss these results in light of current psychological theories of moral cognition, emphasizing the need to consider the unconscious appraisal system that mentally represents the causal and intentional properties of human action.Wiley Online Library",1064,A dissociation between moral judgments and justifications
"Kruger, J. (1999). Lake Wobegon be gone! The ""below-average effect"" and the egocentric nature of comparative ability judgments. Journal of Personality and Social Psychology, 77(2), 221–232.","Like the inhabitants of Garrison Keillor's (1985) fictional community of Lake Wobegon, most people appear to believe that their skills and abilities are above average. A series of studies illustrates one of the reasons why: When people compare themselves with their peers, they focus egocentrically on their own skills and insufficiently take into account the skills of the comparison group. This tendency engenders the oft-documented above-average effect in domains in which absolute skills tend to be high but produces a reliable below-average effect in domains in which absolute skills tend to be low (Studies 1 and 2). In Study 3, cognitive load exacerbated these biases, suggesting that people “anchor” on their assessment of their own abilities and insufficiently “adjust” to take into account the skills of the comparison group. These results suggest that the tendency to see oneself as above average may not be as ubiquitous as once thought.American Psychological Association",1371,"[HTML][HTML] Lake Wobegon be gone! The"" below-average effect"" and the egocentric nature of comparative ability judgments."
"Reis, H. T., Lee, K. Y., O'Keefe, S. D., & Clark, M. S. (2018). Perceived partner responsiveness promotes intellectual humility. Journal of Experimental Social Psychology, 79, 21-33.","The relatively novel construct of intellectual humility describes people's tendency to be open-minded and non-defensive when appraising oneself and one's beliefs. Although intellectual humility describes an intrapersonal style of processing information, we theorize that it also has interpersonal roots. This article describes four experiments and one daily-diary study examining the impact of perceived partner responsiveness and unresponsiveness on two manifestations of intellectual humility, lesser self-serving bias and openness to novel information that may contradicting existing beliefs. Studies 1–3 indicated that three well-established examples of self-serving bias—the tendency to rate oneself as better than an average peer, overclaiming personal responsibility for shared household activities, and hindsight bias—were strengthened when people were induced to perceive their partners as unresponsive, but weakened when they were led to perceive their partners as responsive. Study 4, a daily-diary study, demonstrated similar effects of everyday perceptions of responsiveness on hindsight bias, and also found that people reported having been more open to considering alternative, potentially conflicting points of view when they felt that their social environment was responsive to them. Finally, Study 5 found that perceived partner responsiveness led people to adopt a broader perspective. Together, these studies point to perceptions of responsiveness and unresponsiveness as one factor that lessens and intensifies, respectively, openness and non-defensiveness.Elsevier",66,[HTML][HTML] Perceived partner responsiveness promotes intellectual humility
"Exline, J. J., Baumeister, R. F., Zell, A. L., Kraft, A. J., & Witvliet, C. V. (2008). Not so innocent: Does seeing one's own capability for wrongdoing predict forgiveness?. Journal of Personality and Social Psychology, 94(3), 495.","People are more forgiving toward transgressors if they see themselves as capable of committing similar offenses, as demonstrated in 7 studies. Methods included hypothetical scenarios, actual recalled offenses, individual and group processes, and correlational and experimental designs. Three factors mediated the link between personal capability and forgiveness: seeing the other's offense as less severe, greater empathic understanding, and perceiving oneself as similar to the transgressor. In terms of predicting forgiveness, it was important that people's own offenses were similar to the target offense in terms of both severity and type. The personal capability effect was independent of other established predictors of forgiveness and was more pronounced among men than women.(PsycINFO Database Record (c) 2019 APA, all rights reserved)American Psychological Association",261,Not so innocent: Does seeing one's own capability for wrongdoing predict forgiveness?
"Thürmer, J. L., & McCrea, S. M. (2018). Beyond motivated reasoning: Hostile reactions to critical comments from the outgroup. Motivation Science, 4(4), 333-346.","People are motivated to process threatening information in a defensive manner. For instance, in self-reports, group members consistently reject threatening outgroup criticism compared with the same criticism from the ingroup (intergroup sensitivity effect). Because self-reports are a poor proxy for actual behavior, it remains unknown whether this defensiveness motivates hostile actions. We fill this gap in the literature: Five experiments (total N= 787) show that group members pay to punish critical outgroup comments, exclude outgroup commenters from a subject pool, and reject ultimatum bargaining offers from outgroup commenters compared with ingroup commenters voicing the same criticism. These defensive behaviors represent hostile actions and are robust in a meta-analysis across our 5 studies. Intergroup sensitivity thus motivates hostile defensive actions. We discuss potential consequences for intergroup relations.American Psychological Association",47,Beyond motivated reasoning: Hostile reactions to critical comments from the outgroup.
"Santello, M., Flanders, M., & Soechting, J. F. (1998). Postural hand synergies for tool use. Journal of neuroscience, 18(23), 10105-10115.","Subjects were asked to shape the right hand as if to grasp and use a large number of familiar objects. The chosen objects typically are held with a variety of grips, including “precision” and “power” grips. Static hand posture was measured by recording the angular position of 15 joint angles of the fingers and of the thumb. Although subjects adopted distinct hand shapes for the various objects, the joint angles of the digits did not vary independently. Principal components analysis showed that the first two components could account for >80% of the variance, implying a substantial reduction from the 15 degrees of freedom that were recorded. However, even though they were small, higher-order (more than three) principal components did not represent random variability but instead provided additional information about the object. These results suggest that the control of hand posture involves a few postural synergies, regulating the general shape of the hand, coupled with a finer control mechanism providing for small, subtle adjustments. Because the postural synergies did not coincide with grip taxonomies, the results suggest that hand posture may be regulated independently from the control of the contact forces that are used to grasp an object.jneurosci.org",1466,Postural hand synergies for tool use
"Lichtenfeld, S. ,Maier, M. A., Elliot, A. J., & Pekrun, R. (2009 ).The semantic red effect: Processing the word red undermines intellectual performance . Journal of Experimental Social Psychology , 45 ,1273 –1276 .  Experiment 2","Recent research has shown that a two second glimpse of color can have an important influence on affect, cognition, and behavior. The present research examined whether perceiving color is necessary to produce an effect on psychological functioning or whether the mere act of processing a color word might be sufficient. Specifically, four experiments tested the hypothesis that processing the word red undermines intellectual performance, much like actually perceiving the color red. Supportive data were obtained with three different types of subtle manipulation, with three different types of control words, and on two different types of IQ test performance. Worry, but not mood or general arousal, was shown to mediate the semantic red effect, which appears to take place outside of individuals’ awareness. The theoretical and practical implications of the results are discussed.Elsevier",105,[HTML][HTML] The semantic red effect: Processing the word red undermines intellectual performance
"Tabibnia, G., Satpute, A.B., Lieberman, M.D. (2008). The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry). Psychological Science, 19(4), 339-347.","Little is known about the positive emotional impact of fairness or the process of resolving conflict between fairness and financial interests. In past research, fairness has covaried with monetary payoff, such that the mental processes underlying preference for fairness and those underlying preference for greater monetary outcome could not be distinguished. We examined self-reported happiness and neural responses to fair and unfair offers while controlling for monetary payoff. Compared with unfair offers of equal monetary value, fair offers led to higher happiness ratings and activation in several reward regions of the brain. Furthermore, the tendency to accept unfair proposals was associated with increased activity in right ventrolateral prefrontal cortex, a region involved in emotion regulation, and with decreased activity in the anterior insula, which has been implicated in negative affect. This work provides evidence that fairness is hedonically valued and that tolerating unfair treatment for material gain involves a pattern of activation resembling suppression of negative affect.Sage Journals",854,The sunny side of fairness: preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)
"Huh, Y. E., Vosgerau, J., & Morewedge, C. K. (2016). More similar but less satisfying: Comparing preferences for and the efficacy of within-and cross-category substitutes for food. Psychological Science, 27(6), 894-903.","When people cannot get what they want, they often satisfy their desire by consuming a substitute. Substitutes can originate from within the taxonomic category of the desired stimulus (i.e., within-category substitutes) or from a different taxonomic category that serves the same basic goal (i.e., cross-category substitutes). Both a store-brand chocolate (within-category substitute) and a granola bar (cross-category substitute), for example, can serve as substitutes for gourmet chocolate. Here, we found that people believe that within-category substitutes, which are more similar to desired stimuli, will more effectively satisfy their cravings than will cross-category substitutes (Experiments 1, 2a, and 2b). However, because within-category substitutes are more similar than cross-category substitutes to desired stimuli, they are more likely to evoke an unanticipated negative contrast effect. As a result, unless substitutes are equivalent in quality to the desired stimulus, cross-category substitutes more effectively satisfy cravings for the desired stimulus (Experiments 3 and 4).Sage Journals",41,More similar but less satisfying: Comparing preferences for and the efficacy of within-and cross-category substitutes for food
"P Fischer, S Schulz-Hardt, D Frey (2008). Selective exposure and information quantity: how different information quantities moderate decision makers' preference for consistent and inconsistent information. Journal of Personality and Social Psychology, 94.2: 231-244.","Empirical evidence on selective exposure to information after decisions is contradictory: Whereas many studies have found a preference for information that is consistent with one’s prior decision, some have found a preference for inconsistent information. The authors propose that different available information quantities moderate these contradictory findings. Four studies confirmed this expectation. When confronted with 10 pieces of information, decision makers systematically preferred decision-consistent information, whereas when confronted with only 2 pieces of information, they strongly preferred decision-inconsistent information (Study 1). This effect was not due to differences in processing complexity (Study 2) or dissonance processes (Study 3) but could be traced back to different salient selection criteria: When confronted with 2 pieces of information, the salient selection criterion was information direction (consistent vs. inconsistent), which caused a preference for inconsistent information. In contrast, when confronted with more than 2 pieces of information, the salient selection criterion was expected information quality, which caused a preference for consistent information (Study 4).American Psychological Association",237,[HTML][HTML] Selective exposure and information quantity: how different information quantities moderate decision makers' preference for consistent and inconsistent …
