,description,tags,contributors,result,ref_original,ref_replication,abstract,cited_by_count,gs_title
0,Incidental Haptic Sensations Influence Social Judgments and Decisions,"Social Science Replication Project, Science, Nature, Human Behavior",Lukas Röseler,Failure,"Ackerman, J. M., Nocera, C. C., & Bargh, J. A. (2010). Incidental haptic sensations influence social judgments and decisions. Science, 328(5986), 1712-1715.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644.","Touch is both the first sense to develop and a critical means of information acquisition and environmental manipulation. Physical touch experiences may create an ontological scaffold for the development of intrapersonal and interpersonal conceptual and metaphorical knowledge, as well as a springboard for the application of this knowledge. In six experiments, holding heavy or light clipboards, solving rough or smooth puzzles, and touching hard or soft objects nonconsciously influenced impressions and decisions formed about unrelated people and situations. Among other effects, heavy objects made job candidates appear more important, rough objects made social interactions appear more difficult, and hard objects increased rigidity in negotiations. Basic tactile sensations are thus shown to influence higher social cognitive processing in dimension-specific and metaphor-specific ways.AAAS",942,Incidental haptic sensations influence social judgments and decisions
1,Age-related changes in the episodic simulation of future events,"Adult, Aged, Aging [psychology], Female, Humans, Imagination, Life Change Events, Male, Mental Recall, Middle Aged, Neuropsychological Tests, Word Association Tests",Vasquez,Success,"Addis, D.R., Wong, A.T., & Schacter, D.L. (2008). Age-related changes in the episodic simulation of future events. Psychological Science, 19(1), 33-41.","Vásquez-Echeverría, A. (2023, September 28). Replication of DR Addis, AT Wong, DL Schacter (2008, PS 19(1)). Retrieved from osf.io/yaeu7","Episodic memory enables individuals to recollect past events as well as imagine possible future scenarios. Although the episodic specificity of past events declines as people grow older, it is unknown whether the same is true for future events. In an adapted version of the Autobiographical Interview, young and older participants generated past and future events. Transcriptions were segmented into distinct details that were classified as either internal (episodic) or external. Older adults generated fewer internal details than younger adults for past events, a result replicating previous findings; more important, we show that this deficit extends to future events. Furthermore, the number of internal details and the number of external details both showed correlations between past and future events. Finally, the number of internal details generated by older adults correlated with their relational memory abilities, a finding consistent with the constructive-episodic-simulation hypothesis, which holds that simulation of future episodes requires a system that can flexibly recombine details from past events into novel scenarios.Sage Journals",888,Age-related changes in the episodic simulation of future events
2,ventriloquist effect results from near-optimal bimodal integration,,LR,OS not significant,"Alais, D., & Burr, D. (2004). The ventriloquist effect results from near-optimal bimodal integration. Current biology, 14(3), 257-262.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","Ventriloquism is the ancient art of making one's voice appear to come from elsewhere, an art exploited by the Greek and Roman oracles, and possibly earlier [1]. We regularly experience the effect when watching television and movies, where the voices seem to emanate from the actors' lips rather than from the actual sound source. Originally, ventriloquism was explained by performers projecting sound to their puppets by special techniques [1], but more recently it is assumed that ventriloquism results from vision ""capturing"" sound [2–5]. In this study we investigate spatial localization of audio-visual stimuli. When visual localization is good, vision does indeed dominate and capture sound. However, for severely blurred visual stimuli (that are poorly localized), the reverse holds: sound captures vision. For less blurred stimuli, neither sense dominates and perception follows the mean position. Precision of bimodal localization is usually better than either the visual or the auditory unimodal presentation. All the results are well explained not by one sense capturing the other, but by a simple model of optimal combination of visual and auditory information.cell.com",2406,[HTML][HTML] The ventriloquist effect results from near-optimal bimodal integration
3,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,"Attention, Awareness, Cues, Culture, Decision Making, Feeding Behavior, Female, Goals, Humans, Internal-External Control, Judgment, Male, Mental Recall, Persuasive Communication, Problem Solving, Psychomotor Performance, Semantics, Set (Psychology)",Sonnleitner,Failure,"Albarracín, D., Handley, I.M., Noguchi, K., McCulloch, K.C., Li, H., Leeper, J., Brown, R.D., Earl, A., & Hart, W.P. (2008). Increasing and decreasing motor and cognitive output: A model of general action and inaction goals. Journal of Personality and Social Psychology, 95(3), 510-523.","Voracek, M., & Sonnleitner, C. (2016, August 19). Replication of D Albarracín, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart (2008, JPSP 95(3), Exp. 7). Retrieved from osf.io/rgm6p","General action and inaction goals can influence the amount of motor or cognitive output irrespective of the type of behavior in question, with the same stimuli producing trivial and important motor and cognitive manifestations normally viewed as parts of different systems. A series of experiments examined the effects of instilling general action and inaction goals using word primes, such as “action” and “rest.” The first 5 experiments showed that the same stimuli influenced motor output, such as doodling on a piece of paper and eating, as well as cognitive output, such as recall and problem solving. The last 2 experiments supported the prediction that these diverse effects can result from the instigation of general action and inaction goals. Specifically, these last 2 studies confirmed that participants were motivated to achieve active or inactive states and that attaining them decreased the effects of the primes on behavior.American Psychological Association",141.0,[HTML][HTML] Increasing and decreasing motor and cognitive output: a model of general action and inaction goals.
4,Disfluency engages analytic processing,Many Labs 2,Lukas Röseler,OS not significant,"Alter, A. L., Oppenheimer, D. M., Epley, N., & Eyre, R. N. (2007). Overcoming intuition: Metacognitive difficulty activates analytic reasoning. Journal of Experimental Psychology: General, 136, 569–576.  3445.136.4.569 Study 4","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490.","Humans appear to reason using two processing styles: System 1 processes that are quick, intuitive, and effortless and System 2 processes that are slow, analytical, and deliberate that occasionally correct the output of System 1. Four experiments suggest that System 2 processes are activated by metacognitive experiences of difficulty or disfluency during the process of reasoning. Incidental experiences of difficulty or disfluency—receiving information in a degraded font (Experiments 1 and 4), in difficult-to-read lettering (Experiment 2), or while furrowing one's brow (Experiment 3)—reduced the impact of heuristics and defaults in judgment (Experiments 1 and 3), reduced reliance on peripheral cues in persuasion (Experiment 2), and improved syllogistic reasoning (Experiment 4). Metacognitive experiences of difficulty or disfluency appear to serve as an alarm that activates analytic forms of reasoning that assess and sometimes correct the output of more intuitive forms of reasoning.American Psychological Association",1395,[HTML][HTML] Overcoming intuition: metacognitive difficulty activates analytic reasoning.
5,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).","Adult, Distance Perception, Environment, Female, Humans, Male, Perception, Questionnaires, Visual Perception",Foster,OS not significant,"Alter, A.A., & Oppenheimer, D.M. (2008). Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle). Psychological Science, 19, 161-167.","Foster, J. D. (2023, September 28). Replication of Alter & Oppenheimmer (2008, PS, Study 2B). Retrieved from osf.io/kegmc","People construe the world along a continuum from concretely (focusing on specific, local details) to abstractly (focusing on global essences). We show that people are more likely to interpret the world abstractly when they experience cognitive disfluency, or difficulty processing stimuli in the environment, than when they experience cognitive fluency. We observed this effect using three instantiations of fluency: visual perceptual fluency (Study 1b), conceptual priming fluency (Study 2b), and linguistic fluency (Study 3). Adopting the framework of construal theory, we suggest that one mechanism for this effect is perceivers' tendency to interpret disfluently processed stimuli as farther from their current position than fluently processed stimuli (Studies 1a and 2a). Sage Journals",369.0,"Effects of Fluency on Psychological Distance and Mental Construal (or Why New York Is a Large City, but New York Is a Civilized Jungle)"
6,The representation of simple ensemble visual features outside the focus of attention,"Adolescent, Adult, Attention, Humans, Visual Perception",Schlegelmilch,Success,"Alvarez, G.A. & Oliva, A. (2008). The representation of simple ensemble visual features outside the focus of attention. Psychological Science, 19(4), 392-398.","Schlegelmilch, R., & van den Bergh, D. (2023, September 28). Replication of GA Alvarez, A Oliva (2008, PS 19(4), Exp. 3). Retrieved from osf.io/dnaxe","The representation of visual information inside the focus of attention is more precise than the representation of information outside the focus of attention. We found that the visual system can compensate for the cost of withdrawing attention by pooling noisy local features and computing summary statistics. The location of an individual object is a local feature, whereas the center of mass of several objects (centroid) is a summary feature representing the mean object location. Three experiments showed that withdrawing attention degraded the representation of individual positions more than the representation of the centroid. It appears that information outside the focus of attention can be represented at an abstract level that lacks local detail, but nevertheless carries a precise statistical summary of the scene. The term ensemble features refers to a broad class of statistical summary features that we propose collectively make up the representation of information outside the focus of attention.Sage Journals",484.0,The representation of simple ensemble visual features outside the focus of attention
7,Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.,"African Americans, Analysis of Variance, Cognition, Conflict (Psychology), European Continental Ancestry Group, Evoked Potentials, Female, Group Processes, Humans, Inhibition (Psychology), Models, Psychological, Motivation, Neuropsychology, Prejudice, United States",Graham,Failure,"Amodio, D. M., Devine, P. G., & Harmon-Jones, E. (2008). Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control. Journal of Personality and Social Psychology, 94(1), 60-74.","Johnson-Grey, K. M., Hayes, T. B., & Graham, J. (2023, September 28). Replication of Amodio, Devine, & Harmon-Jones (2008, JPSP, Study 2). Retrieved from osf.io/wkgpq",,364.0,Individual differences in the regulation of intergroup bias: the role of conflict monitoring and neural signals for control.
8,Sociometric status and well-being,Many Labs 2,Lukas Röseler,Failure,"Anderson, C., Kraus, M. W., Galinsky, A. D., & Keltner, D. (2012). The local-ladder effect: Social status and subjective well-being. Psychological Science, 23, 764–771.  Study 3","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490.","Dozens of studies in different nations have revealed that socioeconomic status only weakly predicts an individual’s subjective well-being (SWB). These results imply that although the pursuit of social status is a fundamental human motivation, achieving high status has little impact on one’s SWB. However, we propose that sociometric status—the respect and admiration one has in face-to-face groups (e.g., among friends or coworkers)—has a stronger effect on SWB than does socioeconomic status. Using correlational, experimental, and longitudinal methodologies, four studies found consistent evidence for a local-ladder effect: Sociometric status significantly predicted satisfaction with life and the experience of positive and negative emotions. Longitudinally, as sociometric status rose or fell, SWB rose or fell accordingly. Furthermore, these effects were driven by feelings of power and social acceptance. Overall, individuals’ sociometric status matters more to their SWB than does their socioeconomic status.Sage Journals",756.0,The local-ladder effect: Social status and subjective well-being
9,Prescribed optimism: Is it right to be wrong about the future?,"Affect, Attitude, Coercion, Forecasting, Humans, Time Perception",Lassetter,Success,"Armor, D.A., Massey, C., & Sackett, A.M. 2008. Prescribed optimism: Is it right to be wrong about the future? Psychological Science, 19, 329-331.","Lassetter, B., Brandt, M. J., van ’t Veer, A. E., & Mehta, P. (2023, September 28). Replication of Armor, Massey & Sackett (2008, PS, Study 1). Retrieved from osf.io/qlzap","METHODTo investigate this issue, we examined people's beliefs about the kinds of predictions (accurate, optimistic, or pessimistic) they and others ought to make. Specifically, we asked participants (N= 383) to imagine one of four different settings in which predictions (a) would be relevant and (b) might range from overly pessimistic to overly optimistic. These settings, chosen for breadth, included decisions about a financial investment, an academic-award application, a surgical procedure, and a dinner party. For each setting, we created eight vignettes by independently manipulating three variables known to be related to optimism: commitment (whether the decision to engage in a particular action has or has not been made; Armor & Taylor, 2003), agency (whether the decision to commit was, or will be, made by the protagonist or by another person; Henry, 1994), and control (the degree to which the protagonist can influence the predicted outcome; Klein & Helweg-Larsen, 2002). 1 Each participant was randomly assigned to one setting and received all eight vignettes, in counterbalanced order, within that setting.Sage Journals",126.0,Prescribed optimism: Is it right to be wrong about the future?
