"description","tags","contributors","result","ref_original","ref_replication"
"Experiment 1: Tested if reminders of money increase system justification compared to non-money reminders. Participants exposed to money imagery showed stronger endorsement of the fairness and legitimacy of the prevailing social system in the U.S.","Priming","Rían O M","OS not significant","","Rohrer, D., Pashler, H., & Harris, C. R. (2015). Do subtle reminders of money change people’s political views? Journal of Experimental Psychology: General, 144(4), e73–e85. Experiment 1"
"Goal priming effect","","Oliver Deane","Failure (reversal)","Aarts, H., Gollwitzer, P. M., & Hassin, R. R. (2004). Goal Contagion: Perceiving Is for Pursuing. Journal of Personality and Social Psychology, 87(1), 23–37.","Brohmer, H., Eckerstorfer, L. V., van Aert, R. C. M., & Corcoran, K. (2021). Do behavioral observations make people catch the goal? A meta-analysis on goal contagion. International Review of Social Psychology, 34(1), 3."
"Goal priming effect","","Oliver Deane","Failure","Aarts, H., Gollwitzer, P. M., & Hassin, R. R. (2004). Goal Contagion: Perceiving Is for Pursuing. Journal of Personality and Social Psychology, 87(1), 23–37.","Brohmer, H., Eckerstorfer, L. V., van Aert, R. C. M., & Corcoran, K. (2021). Do behavioral observations make people catch the goal? A meta-analysis on goal contagion. International Review of Social Psychology, 34(1), 3."
"Incidental Haptic Sensations Influence Social Judgments and Decisions","Social Science Replication Project, Science, Nature, Human Behavior","Lukas Röseler","Failure","Ackerman, J. M., Nocera, C. C., & Bargh, J. A. (2010). Incidental haptic sensations influence social judgments and decisions. Science, 328(5986), 1712-1715.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Age-related changes in the episodic simulation of future events","Adult, Aged, Aging [psychology], Female, Humans, Imagination, Life Change Events, Male, Mental Recall, Middle Aged, Neuropsychological Tests, Word Association Tests","Vasquez","Success","Addis, D.R., Wong, A.T., & Schacter, D.L. (2008). Age-related changes in the episodic simulation of future events. Psychological Science, 19(1), 33-41.","Vásquez-Echeverría, A. (2023, September 28). Replication of DR Addis, AT Wong, DL Schacter (2008, PS 19(1)). Retrieved from osf.io/yaeu7"
"ventriloquist effect results from near-optimal bimodal integration","","LR","OS not significant","Alais, D., & Burr, D. (2004). The ventriloquist effect results from near-optimal bimodal integration. Current biology, 14(3), 257-262.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","Attention, Awareness, Cues, Culture, Decision Making, Feeding Behavior, Female, Goals, Humans, Internal-External Control, Judgment, Male, Mental Recall, Persuasive Communication, Problem Solving, Psychomotor Performance, Semantics, Set (Psychology)","Sonnleitner","Failure","Albarracín, D., Handley, I.M., Noguchi, K., McCulloch, K.C., Li, H., Leeper, J., Brown, R.D., Earl, A., & Hart, W.P. (2008). Increasing and decreasing motor and cognitive output: A model of general action and inaction goals. Journal of Personality and Social Psychology, 95(3), 510-523.","Voracek, M., & Sonnleitner, C. (2016, August 19). Replication of D Albarracín, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart (2008, JPSP 95(3), Exp. 7). Retrieved from osf.io/rgm6p"
"people tended to regard more positive traits as more descriptive of themselves than of the average other","CORE, Judgment, Decision Making, JDM, Heuristics, Biases","Adrien","Success","Alicke, M. D. (1985). Global self-evaluation as determined by the desirability and controllability of trait adjectives. Journal of personality and social psychology, 49(6), 1621.","Ziano, I., Mok, P. Y. (Cora), & Feldman, G. (2021). Replication and Extension of Alicke (1985) Better-Than-Average Effect for Desirable and Controllable Traits. Social Psychological and Personality Science, 12(6), 1005–1017."
"","experimental philosophy","Hannikainen","Failure","Alicke, M. D., Rose, D., & Bloom, D. (2011). Causation, norm violation, and culpable control. The Journal of Philosophy, 108(12), 670-696.","Cova, F., Strickland, B., Abatista, A., Allard, A., Andow, J., Attie, M., ... & Zhou, X. (2021). Estimating the reproducibility of experimental philosophy. Review of Philosophy and Psychology, 12, 9-44."
"Disfluency engages analytic processing","Many Labs 2","Lukas Röseler","OS not significant","Alter, A. L., Oppenheimer, D. M., Epley, N., & Eyre, R. N. (2007). Overcoming intuition: Metacognitive difficulty activates analytic reasoning. Journal of Experimental Psychology: General, 136, 569–576.  3445.136.4.569 Study 4","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
